1,Canals in place of streets
2,Massive statue or monument
3,Grand temple
4,Large fortress
5,Verdant parks and orchards
6,River divides town
7,Major trade center
8,Headquarters of a powerful family or gu ild
9,Population mostly wealthy
10,Destitute, rundown
11,Awful smell (tanneries, open sewers)
12,Center of trade for one specific good
13,Site of many battles
14,Site of a mythic or magical event
15,Important library or archive
16,Worship of all gods banned
17,Sinister reputation
18,Notable library or academy
19,Site of important tomb or graveyard
20,Built atop ancient ruins
