1,Denizen spawned from dark magic
2,Denizen spawned from dark magic
3,Denizen spawned from dark magic
4,Denizen spawned from dark magic
5,Denizen spawned from dark magic
6,Denizen controls dark magic
7,Denizen controls dark magic
8,Denizen controls dark magic
9,Denizen controls dark magic
10,Denizen controls dark magic
11,Denizen corrupted by dark magic
12,Denizen corrupted by dark magic
13,Corruption marks you
14,Corruption marks you
15,Innocents held in thrall
16,Innocents held in thrall
17,Revelations of a terrible truth
18,Revelations of a terrible truth
19,Mystic trap or trigger
20,Mystic trap or trigger
21,Mystic barrier or ward
22,Mystic barrier or ward
23,Illusions lead you astray
24,Illusions lead you astray
25,Dark ritual in progress
26,Dark ritual in progress
27,Lingering effects of a dark ritual
28,Lingering effects of a dark ritual
29,Dread harbingers of a greater magic
30,Dread harbingers of a greater magic
