1,Precarious architecture or terrain
2,Precarious architecture or terrain
3,Precarious architecture or terrain
4,Precarious architecture or terrain
5,Precarious architecture or terrain
6,Imminent collapse or destruction
7,Imminent collapse or destruction
8,Imminent collapse or destruction
9,Imminent collapse or destruction
10,Imminent collapse or destruction
11,Path undermined
12,Path undermined
13,Blocked or broken path
14,Blocked or broken path
15,Vestiges of a destructive force
16,Vestiges of a destructive force
17,Unexpected environmental threat
18,Unexpected environmental threat
19,Echoes of a troubling past
20,Echoes of a troubling past
21,Signs of a horrible fate
22,Signs of a horrible fate
23,Denizen seeks retribution
24,Denizen seeks retribution
25,Denizen leverages the environment
26,Denizen leverages the environment
27,Denizen restores what was lost
28,Denizen restores what was lost
29,Ravages return anew
30,Ravages return anew
