1,Path of destruction
2,Path of destruction
3,Path of destruction
4,Path of destruction
5,Abandoned or ruined dwelling
6,Abandoned or ruined dwelling
7,Abandoned or ruined dwelling
8,Abandoned or ruined dwelling
9,Untouched or preserved area
10,Untouched or preserved area
11,Untouched or preserved area
12,Untouched or preserved area
13,Traces of what was lost
14,Traces of what was lost
15,Traces of what was lost
16,Traces of what was lost
17,Ill-fated victims
18,Ill-fated victims
19,Ill-fated victims
20,Ill-fated victims
