1,Denizen hunts
2,Denizen hunts
3,Denizen hunts
4,Denizen hunts
5,Denizen hunts
6,Denizen strikes without warning
7,Denizen strikes without warning
8,Denizen strikes without warning
9,Denizen strikes without warning
10,Denizen strikes without warning
11,Denizen leverages the environment
12,Denizen leverages the environment
13,Denizen wields unexpected abilities
14,Denizen wields unexpected abilities
15,Denizen guided by a greater threat
16,Denizen guided by a greater threat
17,Denizen protects something
18,Denizen protects something
19,Hazardous terrain
20,Hazardous terrain
21,Weather or environmental threat
22,Weather or environmental threat
23,Benign aspect becomes a threat
24,Benign aspect becomes a threat
25,Overzealous hunter
26,Overzealous hunter
27,Disturbing evidence of a victim’s fate
28,Disturbing evidence of a victim’s fate
29,Ill-fated victim in danger
30,Ill-fated victim in danger
